"","tool","run","parameter","moment","value"
"290","nm7",7,"THETA3","estimate","0.0681405"
"291","nm7",7,"THETA3","prse",NA
"292","nm7",7,"THETA3","se",NA
"293","nm7",7,"THETA4","estimate","3.80836"
"294","nm7",7,"THETA4","prse",NA
"295","nm7",7,"THETA4","se",NA
"296","nm7",7,"THETA5","estimate","96.9352"
"297","nm7",7,"THETA5","prse",NA
"298","nm7",7,"THETA5","se",NA
"299","nm7",7,"THETA6","estimate","1.03434"
"300","nm7",7,"THETA6","prse",NA
"301","nm7",7,"THETA6","se",NA
"302","nm7",7,"THETA7","estimate","1.69863"
"303","nm7",7,"THETA7","prse",NA
"304","nm7",7,"THETA7","se",NA
"305","nm7",7,"OMEGA1.1","estimate","0.209114"
"306","nm7",7,"OMEGA1.1","prse",NA
"307","nm7",7,"OMEGA1.1","se",NA
"308","nm7",7,"OMEGA2.1","estimate","0"
"309","nm7",7,"OMEGA2.1","prse",NA
"310","nm7",7,"OMEGA2.1","se",NA
"311","nm7",7,"OMEGA2.2","estimate","0.178904"
"312","nm7",7,"OMEGA2.2","prse",NA
"313","nm7",7,"OMEGA2.2","se",NA
"314","nm7",7,"OMEGA3.1","estimate","0"
"315","nm7",7,"OMEGA3.1","prse",NA
"316","nm7",7,"OMEGA3.1","se",NA
"317","nm7",7,"OMEGA3.2","estimate","0"
"318","nm7",7,"OMEGA3.2","prse",NA
"319","nm7",7,"OMEGA3.2","se",NA
"320","nm7",7,"OMEGA3.3","estimate","0.116594"
"321","nm7",7,"OMEGA3.3","prse",NA
"322","nm7",7,"OMEGA3.3","se",NA
"323","nm7",7,"SIGMA1.1","estimate","0.068366"
"324","nm7",7,"SIGMA1.1","prse",NA
"325","nm7",7,"SIGMA1.1","se",NA
"326","nm7",7,"cov","status","0"
"327","nm7",7,"prob","text","7 phase1 2 CMT like 1004 but diff. initial on V3"
"328","nm7",7,"min","status","0"
"329","nm7",7,"data","filename","../data/7.csv"
"330","nm7",8,"ofv","minimum","2702.99163190546"
"331","nm7",8,"THETA1","estimate","7.72618"
"332","nm7",8,"THETA1","prse",NA
"333","nm7",8,"THETA1","se",NA
"334","nm7",8,"THETA2","estimate","20.3638"
"335","nm7",8,"THETA2","prse",NA
"336","nm7",8,"THETA2","se",NA
"337","nm7",8,"THETA3","estimate","0.0674111"
"338","nm7",8,"THETA3","prse",NA
"339","nm7",8,"THETA3","se",NA
"340","nm7",8,"THETA4","estimate","3.47648"
"341","nm7",8,"THETA4","prse",NA
"342","nm7",8,"THETA4","se",NA
"343","nm7",8,"THETA5","estimate","102.851"
"344","nm7",8,"THETA5","prse",NA
"345","nm7",8,"THETA5","se",NA
"346","nm7",8,"THETA6","estimate","0.976578"
"347","nm7",8,"THETA6","prse",NA
"348","nm7",8,"THETA6","se",NA
"349","nm7",8,"THETA7","estimate","1.85627"
"350","nm7",8,"THETA7","prse",NA
"351","nm7",8,"THETA7","se",NA
"352","nm7",8,"OMEGA1.1","estimate","0.201719"
"353","nm7",8,"OMEGA1.1","prse",NA
"354","nm7",8,"OMEGA1.1","se",NA
"355","nm7",8,"OMEGA2.1","estimate","0"
"356","nm7",8,"OMEGA2.1","prse",NA
"357","nm7",8,"OMEGA2.1","se",NA
"358","nm7",8,"OMEGA2.2","estimate","0.151691"
"359","nm7",8,"OMEGA2.2","prse",NA
"360","nm7",8,"OMEGA2.2","se",NA
"361","nm7",8,"OMEGA3.1","estimate","0"
"362","nm7",8,"OMEGA3.1","prse",NA
"363","nm7",8,"OMEGA3.1","se",NA
"364","nm7",8,"OMEGA3.2","estimate","0"
"365","nm7",8,"OMEGA3.2","prse",NA
"366","nm7",8,"OMEGA3.2","se",NA
"367","nm7",8,"OMEGA3.3","estimate","0.085607"
"368","nm7",8,"OMEGA3.3","prse",NA
"369","nm7",8,"OMEGA3.3","se",NA
"370","nm7",8,"SIGMA1.1","estimate","0.0594971"
"371","nm7",8,"SIGMA1.1","prse",NA
"372","nm7",8,"SIGMA1.1","se",NA
"373","nm7",8,"cov","status","0"
"374","nm7",8,"prob","text","8 phase1 2 CMT like 1004 but diff. initial on V3"
"375","nm7",8,"min","status","0"
"376","nm7",8,"data","filename","../data/8.csv"
"377","nm7",9,"ofv","minimum","2111.96918145447"
"378","nm7",9,"THETA1","estimate","7.85227"
"379","nm7",9,"THETA1","prse",NA
"380","nm7",9,"THETA1","se",NA
"381","nm7",9,"THETA2","estimate","20.8906"
"382","nm7",9,"THETA2","prse",NA
"383","nm7",9,"THETA2","se",NA
"384","nm7",9,"THETA3","estimate","0.0706937"
"385","nm7",9,"THETA3","prse",NA
"386","nm7",9,"THETA3","se",NA
"387","nm7",9,"THETA4","estimate","3.7947"
"388","nm7",9,"THETA4","prse",NA
"389","nm7",9,"THETA4","se",NA
"390","nm7",9,"THETA5","estimate","88.7646"
"391","nm7",9,"THETA5","prse",NA
"392","nm7",9,"THETA5","se",NA
"393","nm7",9,"THETA6","estimate","1.01515"
"394","nm7",9,"THETA6","prse",NA
"395","nm7",9,"THETA6","se",NA
"396","nm7",9,"THETA7","estimate","1.85219"
"397","nm7",9,"THETA7","prse",NA
"398","nm7",9,"THETA7","se",NA
"399","nm7",9,"OMEGA1.1","estimate","0.156472"
"400","nm7",9,"OMEGA1.1","prse",NA
"401","nm7",9,"OMEGA1.1","se",NA
"402","nm7",9,"OMEGA2.1","estimate","0"
"403","nm7",9,"OMEGA2.1","prse",NA
"404","nm7",9,"OMEGA2.1","se",NA
"405","nm7",9,"OMEGA2.2","estimate","0.0875738"
"406","nm7",9,"OMEGA2.2","prse",NA
"407","nm7",9,"OMEGA2.2","se",NA
"408","nm7",9,"OMEGA3.1","estimate","0"
"409","nm7",9,"OMEGA3.1","prse",NA
"410","nm7",9,"OMEGA3.1","se",NA
"411","nm7",9,"OMEGA3.2","estimate","0"
"412","nm7",9,"OMEGA3.2","prse",NA
"413","nm7",9,"OMEGA3.2","se",NA
"414","nm7",9,"OMEGA3.3","estimate","0.117777"
"415","nm7",9,"OMEGA3.3","prse",NA
"416","nm7",9,"OMEGA3.3","se",NA
"417","nm7",9,"SIGMA1.1","estimate","0.0724139"
"418","nm7",9,"SIGMA1.1","prse",NA
"419","nm7",9,"SIGMA1.1","se",NA
"420","nm7",9,"cov","status","0"
"421","nm7",9,"prob","text","9 phase1 2 CMT like 1004 but diff. initial on V3"
"422","nm7",9,"min","status","0"
"423","nm7",9,"data","filename","../data/9.csv"
"424","nm7",10,"ofv","minimum","2329.9403507359"
"425","nm7",10,"THETA1","estimate","9.35764"
"426","nm7",10,"THETA1","prse",NA
"427","nm7",10,"THETA1","se",NA
"428","nm7",10,"THETA2","estimate","18.6772"
"429","nm7",10,"THETA2","prse",NA
"430","nm7",10,"THETA2","se",NA
"431","nm7",10,"THETA3","estimate","0.0590002"
"432","nm7",10,"THETA3","prse",NA
"433","nm7",10,"THETA3","se",NA
"434","nm7",10,"THETA4","estimate","2.60051"
"435","nm7",10,"THETA4","prse",NA
"436","nm7",10,"THETA4","se",NA
"437","nm7",10,"THETA5","estimate","103.849"
"438","nm7",10,"THETA5","prse",NA
"439","nm7",10,"THETA5","se",NA
"440","nm7",10,"THETA6","estimate","0.972217"
"441","nm7",10,"THETA6","prse",NA
"442","nm7",10,"THETA6","se",NA
"443","nm7",10,"THETA7","estimate","1.13211"
"444","nm7",10,"THETA7","prse",NA
"445","nm7",10,"THETA7","se",NA
"446","nm7",10,"OMEGA1.1","estimate","0.170757"
"447","nm7",10,"OMEGA1.1","prse",NA
"448","nm7",10,"OMEGA1.1","se",NA
"449","nm7",10,"OMEGA2.1","estimate","0"
"450","nm7",10,"OMEGA2.1","prse",NA
"451","nm7",10,"OMEGA2.1","se",NA
"452","nm7",10,"OMEGA2.2","estimate","0.0733766"
"453","nm7",10,"OMEGA2.2","prse",NA
"454","nm7",10,"OMEGA2.2","se",NA
"455","nm7",10,"OMEGA3.1","estimate","0"
"456","nm7",10,"OMEGA3.1","prse",NA
"457","nm7",10,"OMEGA3.1","se",NA
"458","nm7",10,"OMEGA3.2","estimate","0"
"459","nm7",10,"OMEGA3.2","prse",NA
"460","nm7",10,"OMEGA3.2","se",NA
"461","nm7",10,"OMEGA3.3","estimate","0.109878"
"462","nm7",10,"OMEGA3.3","prse",NA
"463","nm7",10,"OMEGA3.3","se",NA
"464","nm7",10,"SIGMA1.1","estimate","0.0714691"
"465","nm7",10,"SIGMA1.1","prse",NA
"466","nm7",10,"SIGMA1.1","se",NA
"467","nm7",10,"cov","status","0"
"468","nm7",10,"prob","text","10 phase1 2 CMT like 1004 but diff. initial on V3"
"469","nm7",10,"min","status","0"
"470","nm7",10,"data","filename","../data/10.csv"
"471","nm7",11,"ofv","minimum","2289.59107044083"
"472","nm7",11,"THETA1","estimate","8.40991"
"473","nm7",11,"THETA1","prse",NA
"474","nm7",11,"THETA1","se",NA
"475","nm7",11,"THETA2","estimate","24.2934"
"476","nm7",11,"THETA2","prse",NA
"477","nm7",11,"THETA2","se",NA
"478","nm7",11,"THETA3","estimate","0.069719"
"479","nm7",11,"THETA3","prse",NA
"480","nm7",11,"THETA3","se",NA
"481","nm7",11,"THETA4","estimate","4.06826"
"482","nm7",11,"THETA4","prse",NA
"483","nm7",11,"THETA4","se",NA
"484","nm7",11,"THETA5","estimate","91.5572"
"485","nm7",11,"THETA5","prse",NA
"486","nm7",11,"THETA5","se",NA
"487","nm7",11,"THETA6","estimate","0.84307"
"488","nm7",11,"THETA6","prse",NA
"489","nm7",11,"THETA6","se",NA
"490","nm7",11,"THETA7","estimate","1.95149"
"491","nm7",11,"THETA7","prse",NA
"492","nm7",11,"THETA7","se",NA
"493","nm7",11,"OMEGA1.1","estimate","0.171613"
"494","nm7",11,"OMEGA1.1","prse",NA
"495","nm7",11,"OMEGA1.1","se",NA
"496","nm7",11,"OMEGA2.1","estimate","0"
"497","nm7",11,"OMEGA2.1","prse",NA
"498","nm7",11,"OMEGA2.1","se",NA
"499","nm7",11,"OMEGA2.2","estimate","0.14527"
"500","nm7",11,"OMEGA2.2","prse",NA
"501","nm7",11,"OMEGA2.2","se",NA
"502","nm7",11,"OMEGA3.1","estimate","0"
"503","nm7",11,"OMEGA3.1","prse",NA
"504","nm7",11,"OMEGA3.1","se",NA
"505","nm7",11,"OMEGA3.2","estimate","0"
"506","nm7",11,"OMEGA3.2","prse",NA
"507","nm7",11,"OMEGA3.2","se",NA
"508","nm7",11,"OMEGA3.3","estimate","0.0609746"
"509","nm7",11,"OMEGA3.3","prse",NA
"510","nm7",11,"OMEGA3.3","se",NA
"511","nm7",11,"SIGMA1.1","estimate","0.0613217"
"512","nm7",11,"SIGMA1.1","prse",NA
"513","nm7",11,"SIGMA1.1","se",NA
"514","nm7",11,"cov","status","0"
"515","nm7",11,"prob","text","11 phase1 2 CMT like 1004 but diff. initial on V3"
"516","nm7",11,"min","status","0"
"517","nm7",11,"data","filename","../data/11.csv"
"518","nm7",12,"ofv","minimum","2448.90178620839"
"519","nm7",12,"THETA1","estimate","7.64174"
"520","nm7",12,"THETA1","prse",NA
"521","nm7",12,"THETA1","se",NA
"522","nm7",12,"THETA2","estimate","22.522"
"523","nm7",12,"THETA2","prse",NA
"524","nm7",12,"THETA2","se",NA
"525","nm7",12,"THETA3","estimate","0.0733976"
"526","nm7",12,"THETA3","prse",NA
"527","nm7",12,"THETA3","se",NA
"528","nm7",12,"THETA4","estimate","3.75744"
"529","nm7",12,"THETA4","prse",NA
"530","nm7",12,"THETA4","se",NA
"531","nm7",12,"THETA5","estimate","79.1854"
"532","nm7",12,"THETA5","prse",NA
"533","nm7",12,"THETA5","se",NA
"534","nm7",12,"THETA6","estimate","1.39279"
"535","nm7",12,"THETA6","prse",NA
"536","nm7",12,"THETA6","se",NA
"537","nm7",12,"THETA7","estimate","1.58384"
"538","nm7",12,"THETA7","prse",NA
"539","nm7",12,"THETA7","se",NA
"540","nm7",12,"OMEGA1.1","estimate","0.149716"
"541","nm7",12,"OMEGA1.1","prse",NA
"542","nm7",12,"OMEGA1.1","se",NA
"543","nm7",12,"OMEGA2.1","estimate","0"
"544","nm7",12,"OMEGA2.1","prse",NA
"545","nm7",12,"OMEGA2.1","se",NA
"546","nm7",12,"OMEGA2.2","estimate","0.0940298"
"547","nm7",12,"OMEGA2.2","prse",NA
"548","nm7",12,"OMEGA2.2","se",NA
"549","nm7",12,"OMEGA3.1","estimate","0"
"550","nm7",12,"OMEGA3.1","prse",NA
"551","nm7",12,"OMEGA3.1","se",NA
"552","nm7",12,"OMEGA3.2","estimate","0"
"553","nm7",12,"OMEGA3.2","prse",NA
"554","nm7",12,"OMEGA3.2","se",NA
"555","nm7",12,"OMEGA3.3","estimate","0.0874003"
"556","nm7",12,"OMEGA3.3","prse",NA
"557","nm7",12,"OMEGA3.3","se",NA
"558","nm7",12,"SIGMA1.1","estimate","0.0647066"
"559","nm7",12,"SIGMA1.1","prse",NA
"560","nm7",12,"SIGMA1.1","se",NA
"561","nm7",12,"cov","status","0"
"562","nm7",12,"prob","text","12 phase1 2 CMT like 1004 but diff. initial on V3"
"563","nm7",12,"min","status","0"
"564","nm7",12,"data","filename","../data/12.csv"
"565","nm7",13,"ofv","minimum","2297.35953833257"
"566","nm7",13,"THETA1","estimate","8.15292"
"567","nm7",13,"THETA1","prse",NA
"568","nm7",13,"THETA1","se",NA
"569","nm7",13,"THETA2","estimate","20.5593"
"570","nm7",13,"THETA2","prse",NA
"571","nm7",13,"THETA2","se",NA
"572","nm7",13,"THETA3","estimate","0.0641402"
"573","nm7",13,"THETA3","prse",NA
"574","nm7",13,"THETA3","se",NA
"575","nm7",13,"THETA4","estimate","3.82841"
"576","nm7",13,"THETA4","prse",NA
"577","nm7",13,"THETA4","se",NA
"578","nm7",13,"THETA5","estimate","100.578"
"579","nm7",13,"THETA5","prse",NA
"580","nm7",13,"THETA5","se",NA
"581","nm7",13,"THETA6","estimate","1.21276"
"582","nm7",13,"THETA6","prse",NA
